Title	Author	Date	Availability	Genre	Subgenre	Form	Regularisation	Nb of tokens (c.)	File	
L'architecture pratique, qui comprend le détail du toisé, & du devis des ouvrages de massonnerie, charpenterie, menuiserie, serrurerie, plomberie, vitrerie, ardoise, tuille, pavé de grais & impression . Avec une explication de la Coutume sur le titre des servitudes et rapports qui regardent les bastimens... par M. Bullet,...	Pierre Bullet	1691		mixed	x	mixed	no	69854	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k6556996n.xml	
Lettres de mistriss Fanni Butlerd, à milord Charles Alfred de Caitombridge, comte de Plisinte, duc de Raflingth , ecrites en 1735, traduites de l'anglois en 1756, par Adelaïde de Varançai.	Marie-Jeanne Riccoboni	1767		mixed	x	mixed	no	28854	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k6553653x.xml	
Vers leipogrammes et autres oeuvres en poésie de S. C. S. D. R	Salomon Certon	1620		mixed	x	mixed	no	34203	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k6551882q.xml	
Le siége de Calais, tragédie, dédiée au Roi, par M. de Belloy ; représentée pour la premiere fois, par les Comédiens français ordinaires du Roi, le 13 février 1765. Suivie de notes historiques. Nouvelle édition	Pierre Laurent de Belloy	1765		mixed	x	mixed	no	23902	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k6502485h.xml	
Du commerce et de la Compagnie des Indes. Par Du Pont, de l'Académie des Belles-Lettres de Caen, des Sociétés royales d'agriculture, de Soissons, d'Orléans, & de Limoges. Correspondant de la Société d'émulation de Londres. Seconde édition revue et augmentée de l'Histoire du système de Law.	Pierre-Samuel Dupont de Nemours	1769		mixed	x	mixed	no	32918	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k10504087.xml	
Chinki, histoire cochinchinoise , qui peut servir à d'autres pays	Gabriel-François Coyer	1768		mixed	x	mixed	no	12838	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k5540197z.xml	
Essai sur la fabrique de l'indigo. Par M. Charpentier de Cossigny,...	Joseph-François Charpentier de Cossigny	1779		mixed	x	mixed	no	102659	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k10652284.xml	
Abrégé de l'histoire romaine... [par l'abbé C.-F.-X. Millot]	Claude-François-Xavier Millot	1789		mixed	x	mixed	no	56445	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k10567907.xml	
Essai sur l'art de la guerre. Tome 2 / , par M. le comte Turpin de Crissé,... Tome premier [-second]	Lancelot Turpin de Crissé	1754		mixed	x	mixed	no	39336	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k1042615d.xml	
"Histoire de Kentucke , nouvelle colonie à l'ouest de la Virginie, contenant... la relation historique du colonel Boon,... ouvrage pour servir de suite aux ""Lettres d'un cultivateur américain"", traduit de l'anglais de M. John Filson, par M. Parraud,..."	John Filson	1785		mixed	x	mixed	no	30697	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k1056784h.xml	
Art de faire le papier, par M. de La Lande	Jérôme de La Lande	1761		mixed	x	mixed	no	62866	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k10671841.xml	
Éthocratie ou Le gouvernement fondé sur la morale	Paul Henri Dietrich Holbach	1776		mixed	x	mixed	no	39664	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k1040202s.xml	
Essai sur la peinture, la sculpture et l'architecture / par M. de B*** [Bachaumont] ; par M. de Voltaire ; par M. Gresset,... ; par M. de Voltaire	Louis Petit de Bachaumont	1752		mixed	x	mixed	no	8887	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k6219082m.xml	
Art de faire les tapis, façon de Turquie , connus sous le nom de tapis de la Savonnerie. Par M. Duhamel Du Monceau.	Henri-Louis Duhamel Du Monceau	1766		mixed	x	mixed	no	10145	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k1066652g.xml	
Oraison funèbre de... Louis XVI,... prononcée en latin, dans la chapelle du Quirinal... par monseigneur Leardi de Casal-Montferrat,... et traduite par M. l'abbé d' Hesmivy d'Auribeau,...	Leardi de Casal-Montferrat	1793		mixed	x	mixed	no	12567	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k131260v.xml	
Curiosités de Paris, de Versailles ; Marly, Vincennes, Saint-Cloud, et des environs. T. 1 / . Nouvelle édition, augmentée de la description de tous les nouveaux monumens, edifices & autres curiosités, avec les changemens qui ont été faits depuis environ vingt ans. Par M. L. R. Tome premier [-second].	Claude-Marin Saugrain	1771		mixed	x	mixed	no	84474	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k1040275p.xml	
La Deffense du poëme heroïque , avec quelques remarques sur les oeuvres satyriques du sieur D*** Dialogues en vers & en prose	Jean Desmarets de Saint-Sorlin	1674		mixed	x	mixed	no	30668	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k6565450w.xml	
Extrait du Journal de mes voyages, ou Histoire d'un jeune homme, pour servir d'ecole aux peres et meres. Tome 2 / . Par M. Pahin de La Blancherie. Tome premier [-second].	Pahin de La Blancherie	1775		mixed	x	mixed	no	34313	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k1075048g.xml	
Abregé de la vie des peintres , avec des reflexions sur leurs ouvrages, et un Traité du peintre parfait, de la connoissance des desseins, & de l'utilité des estampes	Roger de Piles	1699		mixed	x	mixed	no	91422	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k6568782t.xml	
Voltaire, poëme en vers libres, par M. Le Clerc de Montmerci,...	Claude-Germain Le Clerc de Montmerci	1764		mixed	x	mixed	no	14774	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k65165379.xml	
Art du perruquier , contenant la façon de la barbe, la coupe des cheveux, la construction des perruques d'hommes et de femmes, le perruquier en vieux et le baigneur-étuviste, par M. de Garsault	François-Alexandre-Pierre de Garsault	1767		mixed	x	mixed	no	21183	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k1067624g.xml	
Histoire des arts qui ont rapport au dessein ... Par P. Monier,...	Pierre Monier	1698		mixed	x	mixed	no	21300	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k6557500p.xml	
Socrate chrestien, par le sr de Balzac, & autres oeuvres du mesme autheur. - Dissertation, ou Diverses remarques sur divers escrits à Monsieur Conrart, conseiller et secrétaire du Roy	Jean-Louis de Balzac	1652		mixed	x	mixed	no	70581	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k63538927.xml	
Description sommaire des ouvrages de peinture, sculpture et gravure exposés dans les salles de l'Académie royale , par M. D***	Antoine-Nicolas Dezallier d'Argenville	1781		mixed	x	mixed	no	13485	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k6558099d.xml	
Essai théorique et pratique sur les batailles, par M. le chevalier de Grimoard	Philippe-Henri de Grimoard	1775		mixed	x	mixed	no	13613	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k1042693m.xml	
Art du charbonnier, ou Manière de faire le charbon de bois, par M. Duhamel Du Monceau. - Additions et corrections relatives à l'Art du charbonnier, par M. Duhamel du Monceau...	Henri-Louis Duhamel Du Monceau	1761		mixed	x	mixed	no	19107	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k10655945.xml	
La metromanie, ou Le poëte . Comédie en vers et en cinq actes. Par M. Piron. Représentée pour la premiére fois, sur le Théâtre François le 10. janvier 1738	Alexis Piron	1738		mixed	x	mixed	no	21989	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k65214012.xml	
Daïra, histoire orientale en quatre parties	Alexandre Jean Joseph Le Riche de La Popelinière	1760		mixed	x	mixed	no	40245	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k1056870t.xml	
Histoire abregée des insectes qui se trouvent aux environs de Paris. Tome 1 / ; dans laquelle ces animaux sont rangés suivant un ordre méthodique. Tome premier [-second].	Étienne-Louis Geoffroy	1762		mixed	x	mixed	no	144506	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k1043239r.xml	
Ah quel conte!. Partie 6 / Conte politique, et astronomique. Premiere [-huitieme] partie	Claude-Prosper Jolyot de Crébillon	1754		mixed	x	mixed	no	12205	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k1073340k.xml	
Commentariorum in Epistolas Q. Horatii Flacci liber primus...	Jean Amariton	1553		mixed	x	mixed	no	11063	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k6215544d.xml	
Contes moraux et nouvelles idylles de D... et Salomon Gessner	Salomon Gessner	1773		mixed	x	mixed	no	33322	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k1056826d.xml	
Discours contre les servitudes publiques.	François Boissel	1786		mixed	x	mixed	no	10848	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k1057828j.xml	
Le Mariage inattendu de Chérubin, comédie en 3 actes et en prose / par Mme de Gouge	Olympe de Gouges	1788		mixed	x	mixed	no	15231	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k6505255m.xml	
L'académie de l'art poétique,... : dediee à la royne Marguerite / par le sieur de Deimier	Pierre de Deimier	1610		mixed	x	mixed	no	3775	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k6532433m.xml	
Encyclopédie poétique, ou Recueil complet de chef-d'oeuvres de poésie sur tous les sujets possibles. T. 5 / , depuis Marot, Malherbe, &c. jusqu'à nos jours, présentés dans l'ordre alphabétique... Par M. de Gaigne	Alexis Toussaint de Gaigne	1778-1781		mixed	x	mixed	no	71894	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k1040225s.xml	
Les poëmes du sieur d'Expilly à madame la marquise de Monceaux	Claude Expilly	1596		mixed	x	mixed	no	3517	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k6554042c.xml	
Description historique de Paris, et de ses plus beaux monumens , gravés en taille-douce par F.-N. Martinet, ingénieur & graveur du cabinet du Roi ; pour servir d'introduction à l'Histoire de Paris & de la France : dédiée au Roi, par M. Béguillet, avocat au Parlement, & membre de plusieurs académies	Edme Beguillet	1779		mixed	x	mixed	no	75573	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k10402496.xml	
Reflexions critiques sur les différentes écoles de peinture.	Jean-Baptiste de Boyer Argens	1752		mixed	x	mixed	no	31614	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k62829686.xml	
Le fils naturel, ou Les épreuves de la vertu , comédie en cinq actes et en prose, avec l'histoire véritable de la pièce	Denis Diderot	1757		mixed	x	mixed	no	40064	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k65540550.xml	
Aline et Valcour, ou Le roman philosophique, Écrit à la Bastille un an avant la Révolution de France. Orné de seize gravures. T. 2	Donatien Alphonse François de Sade	1795		mixed	x	mixed	no	61050	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k1040614c.xml	
Sur l'accord de la morale avec la politique, ou Quelques considérations sur la question : jusqu'à quel point est-il possible de réaliser la morale de la vie privée dans le gouvernement d'un État ? par Mr Garve. Traduit de l'allemand	Christian Garve	1789		mixed	x	mixed	no	35686	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k54031719.xml	
Le Jeu de l'amour et du :hazard: +hasard+ , comédie en trois actes, représentée, pour la premiere fois, par les Comédiens italiens ordinaires du Roi, le 23 janvier 1730	Pierre de Marivaux	1730		mixed	x	mixed	no	14721	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k64959202.xml	
Réflexions sur la sculpture : lues à l'Académie royale de peinture et de sculpture / par Étienne Falconet	Étienne-Maurice Falconet	1761		mixed	x	mixed	no	6747	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k6496752n.xml	
Coutumes générales et locales du païs et duché de Bourbonnois. Vol. 1 / , avec le commentaire dans lequel les coutumes sont expliquées... à quoi on a joint les notes de Me Charles Du Moulin, les décisions tirées des commentaires imprimez de M. Jean Papon, Jean Duret, Jacques Potier... Par messire Matthieu Auroux des Pommiers,...	Charles Du Moulin	1780		mixed	x	mixed	no	404931	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k10401367.xml	
Description historique et chronologique des monumens de sculpture, réunis au Musée des monumens français ; par Alexandre Lenoir,... augmentée d'une Dissertation sur la barbe et les costumes de chaque siècle, et suivie d'un Traité de la peinture sur verre... 5e édition...	Alexandre Lenoir	1798		mixed	x	mixed	no	69095	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k1041227x.xml	
Fables ou Allégories philosophiques	Claude-Joseph Dorat	1772		mixed	x	mixed	no	22606	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k10568502.xml	
Voyage en Corse, et vues politiques sur l'amélioration de cette isle ; suivi de quelques pièces relatives à la Corse, & de plusieurs anecdotes sur le caractère et les vertus de ses habitans... Par M. l'abbé Gaudin...	Jacques Gaudin	1787		mixed	x	mixed	no	45705	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k65575473.xml	
Exposition du système du monde. Tome 1 / , par Pierre-Simon Laplace,... Tome premier [-second]	Pierre-Simon de Laplace	1796		mixed	x	mixed	no	55322	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k1050380m.xml	
Relation abrégée d'un voyage à la cime du Mont-Blanc . En août 1787. Par H.-B. de Saussure	Horace-Bénédict de Saussure	1787		mixed	x	mixed	no	5366	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k1315450.xml	
Eusèbe, ou les Beaux profits de la vertu dans le siècle où nous vivons [par Jean-Charles Laveaux]	Jean-Charles Laveaux	1785		mixed	x	mixed	no	29813	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k5795145n.xml	
Les poësies et rencontres du sieur DeNeufgermain, poete heteroclite de Monseigneur, frere unique du Roy...	Louis de Neufgermain	1630		mixed	x	mixed	no	14461	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k6535663c.xml	
Contes moraux, ou Les hommes comme il y en a peu	Louis-Sébastien Mercier	1768		mixed	x	mixed	no	49794	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k1055800v.xml	
La description de l'isle d'Utopie, oú est comprins le miroer des républicques du monde... rédigé... par... Thomas Morus... avec l'épistre liminaire composée par M. Budé,...	Thomas More	1550		mixed	x	mixed	no	42173	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k6566444g.xml	
Histoire du temps, ou Relation du royaume de Coqueterie . Extraite du dernier voyage des Holandois aux Indes du Levant	François Hédelin Aubignac	1654		mixed	x	mixed	no	5638	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k6558185q.xml	
De la connoissance des bons livres, ou Examen de plusieurs autheurs	Charles Sorel	1671		mixed	x	mixed	no	54854	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k6558239t.xml	
Chansons joyeuses , mises au jour par un ane-onyme, onissime. Nouvelle édition, considérablement augmentée, & avec de grands changemens qu'il faudroit encore changer	Charles Collé	1765		mixed	x	mixed	no	4708	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k1073478c.xml	
Discours sur la nécessité de l'étude de l'architecture : prononcé à l'ouverture du cinquième cours public / donné par le sieur Blondel,...	Jacques-François Blondel	1754		mixed	x	mixed	no	3678	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k65324697.xml	
Candide, ou l'Optimisme, traduit de l'allemand de M. le docteur Ralph	Voltaire	1759		mixed	x	mixed	no	28234	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k1057560q.xml	
Abrégé d'histoire naturelle pour l'instruction de la jeunesse. Partie 1 / . Imité de l'allemand de M. Raff,... 1re [-2e] partie, par M. Perrault	Georg Christian Raff	1786		mixed	x	mixed	no	97043	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k1041457r.xml	
La Sylvie du sieur Mairet . Tragi-comédie pastorale...	Jean Mairet	1628		mixed	x	mixed	no	20828	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k65466206.xml	
[Oeuvres de M. Gorjy] ; 5-6. Victorine. Partie 2 / , par l'auteur de Blançay, &c. Dédiée à Madame, comtesse d'Artois. Première [-seconde] partie.	Jean-Claude Gorjy	1789		mixed	x	mixed	no	20973	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k1065192z.xml	
Lettres de deux amans, habitans d'une petite ville au pied des Alpes. Vol. 5 / , recueillies et publiées par J.-J. Rousseau	Jean-Jacques Rousseau	1761		mixed	x	mixed	no	35948	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k1040134d.xml	
Les règles du dessein et du lavis , pour les plans particuliers des ouvrages & des bâtimens, & pour leurs coupes, profils, élévations & façades, tant de l'architecture militaire que civile. Par M. Buchotte,... Nouvelle édition, revûe, corrigée & augmentée	Buchotte	1754		mixed	x	mixed	no	36929	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k65663926.xml	
Dialogues sur la peinture , Seconde édition, enrichie de notes.	Antoine Renou	1773-1774		mixed	x	mixed	no	34677	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k6312614x.xml	
Laure persécutée , tragicomédie de M. de Rotrou	Jean de Rotrou	1639		mixed	x	mixed	no	17862	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k6245342q.xml	
Discours sur la physionomie , et les avantages des connoissances physionomiques ; par Dom Pernety...	Antoine-Joseph Pernety	1769		mixed	x	mixed	no	11446	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k1043685c.xml	
Le palais des curieux, auquel sont assemblés plusieurs diversitez pour le plaisir des doctes, & le bien de ceux qui désirent scavoir	François Béroalde de Verville	1612		mixed	x	mixed	no	90209	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k62588966.xml	
L'école des bourgeois, comédie en trois actes / par M. d'Allainval	Léonor-Jean-Christine Soulas d'Allainval	1761		mixed	x	mixed	no	13688	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k134004h.xml	
Vie de Molière, donnée au public par Mr. de Voltaire	Voltaire	1772		mixed	x	mixed	no	13942	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k5625137x.xml	
Mémoires critiques d'architecture . Contenans l'idée de la vraie & de la fausse architecture... par Frémin	Michel de Frémin	1702		mixed	x	mixed	no	74666	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k6556966h.xml	
Histoire de l'isle de Corse. Tome 1 / .Tome premier [-second].	François-René-Jean de Pommereul	1779		mixed	x	mixed	no	51384	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k6557899v.xml	
Guide du maréchal ; ouvrage contenant une connoissance exacte du cheval, & la maniere de distinguer & de guérir les maladies . Ensemble un traité de la ferrure qui lui est convenable. Par M. Lafosse, maréchal des petites ecuries du Roi. Avec des figures en taille-douce	Philippe-Étienne Lafosse	1768		mixed	x	mixed	no	94601	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k1043185n.xml	
Oeuvres posthumes de M. de Montesquieu	Montesquieu	1783		mixed	x	mixed	no	26620	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k6495917k.xml	
Art du tailleur : contenant le tailleur d'habits d'hommes, les culottes de peau, le tailleur de corps de femmes & enfants, la couturière & la marchande de modes / par M. de Garsault	François-Alexandre-Pierre de Garsault	1769		mixed	x	mixed	no	23606	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k1067622n.xml	
Traité d'architecture pratique ... par J.-F. Monroy,...	Jean-François Monroy	1785		mixed	x	mixed	no	49505	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k6565418p.xml	
Les amours pastorales de Daphnis et de Chloé , escriptes premierement en grec par Longus, & puis traduictes en françois	Longus	1559		mixed	x	mixed	no	4149	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k133491f.xml	
Procès-verbal des séances de la chambre de l'ordre de la noblesse, aux États généraux, tenues à Versailles en 1789	France. Assemblée nationale constituante	1792		mixed	x	mixed	no	99590	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k132673v.xml	
Recueil historique de la vie et des ouvrages des plus célèbres architectes	Jean-François Félibien Des Avaux	1687		mixed	x	mixed	no	46214	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k6558017j.xml	
Art du couvreur, par M. Duhamel Du Monceau	Henri-Louis Duhamel Du Monceau	1766		mixed	x	mixed	no	29881	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k1065610t.xml	
La Chrysolite, ou Le secret des romans . Par le sieur Mareschal	André Mareschal	1634		mixed	x	mixed	no	108701	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k6511830w.xml	
Histoire des amours de Cléante et Belise . Avec le recueil de ses lettres	Anne Bellinzani Ferrand	1691		mixed	x	mixed	no	31624	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k6558187j.xml	
Catalogue des tableaux du cabinet de M. Crozat, baron de Thiers	Jean-Baptiste de La Curne de Sainte-Palaye	1755		mixed	x	mixed	no	12207	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k65649702.xml	
Essai sur la tolerance chrétienne . Divisé en deux parties.	Jacques Tailhé	1760		mixed	x	mixed	no	15844	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k1041459k.xml	
Histoire de la Louisiane, contenant la découverte de ce vaste pays ; sa description géographique ; un voyage dans les terres ; l'histoire naturelle ; les moeurs, coutumes & religion des naturels, avec leurs origines. Tome 1 / ; deux voyages dans le nord du Nouveau Mexique, dont un jusqu'à la mer du Sud ; ornée de deux cartes & de 40 planches en taille-douce. Par M. Le Page Du Pratz. Tome premier [-troisieme]	Antoine-Simon Le Page du Pratz	1758		mixed	x	mixed	no	58090	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k1041779c.xml	
De la Littérature, considérée dans ses rapports avec les institutions sociales. T. 2 / . Par Mme de Staël-Holstein	Germaine de Staël-Holstein	1799		mixed	x	mixed	no	42716	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k1040097k.xml	
Les Beaux Arts réduits à un même principe	Charles Batteux	1746		mixed	x	mixed	no	33955	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k65582533.xml	
Contes moraux. Tome 2 / , par M. Marmontel,...	Jean-François Marmontel	1765		mixed	x	mixed	no	56389	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k1051594n.xml	
Histoire de la Révolution de France et de l'Assemblée nationale, par M. Montjoye...	Galart de Montjoie	1791-1792		mixed	x	mixed	no	570220	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k10578541.xml	
État de la France, dans lequel on voit tout ce qui regarde le gouvernement ecclésiastique, le militaire, la justice, les finances, le commerce, les manufactures, le nombre des habitans, & en général tout ce qui peut faire connoître à fond cette monarchie. Tome 1 / . Extrait des mémoires dressez par les intendans du royaume, par ordre du roi, Louis XIV... Avec des mémoires historiques sur l'ancien gouvernement de cette monarchie jusqu'à Hugues Capet. Par Monsieur le comte de Boulainvilliers. On y a joint une nouvelle carte de la France... Tome premier [-second]	Henri de Boulainvilliers	1727		mixed	x	mixed	no	385832	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k1054350q.xml	
Nouvelle Histoire du temps, ou La relation véritable du royaume de la Coqueterie . La Blanque des illustres filoux du mesme royaume de Coqueterie et les Mariages bien assortis. Reveu, corrigé & augmenté de nouveau	François Hédelin Aubignac	1655		mixed	x	mixed	no	10593	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/gallicaEpub16-18/bpt6k65583610.xml	
